Unnamed: 0,count,company,tod,used,old_date,date
34,583,birdsm,  7:44:44,-11,1/11/2020 19:44,1/11/2020 19:45
34,567,wheels,  7:44:37,10,1/11/2020 19:44,1/11/2020 19:45
34,2279,birdla,  7:44:43,-28,1/11/2020 19:45,1/11/2020 19:45
34,5314,lime,  7:44:40,3,1/11/2020 19:45,1/11/2020 19:45
34,297,spin,  7:44:44,-3,1/11/2020 19:45,1/11/2020 19:45
35,584,birdsm,  7:59:41,1,1/11/2020 19:59,1/11/2020 20:00
35,572,wheels,  7:59:35,5,1/11/2020 19:59,1/11/2020 20:00
35,2281,birdla,  7:59:41,2,1/11/2020 20:00,1/11/2020 20:00
35,5319,lime,  7:59:38,5,1/11/2020 20:00,1/11/2020 20:00
35,296,spin,  7:59:41,-1,1/11/2020 20:00,1/11/2020 20:00
36,579,birdsm,  8:15:38,-5,1/11/2020 20:15,1/11/2020 20:15
36,577,wheels,  8:15:32,5,1/11/2020 20:15,1/11/2020 20:15
36,2275,birdla,  8:15:38,-6,1/11/2020 20:15,1/11/2020 20:15
36,5333,lime,  8:15:35,14,1/11/2020 20:15,1/11/2020 20:15
36,292,spin,  8:15:38,-4,1/11/2020 20:15,1/11/2020 20:15
37,580,birdsm,  8:29:35,1,1/11/2020 20:29,1/11/2020 20:30
37,578,wheels,  8:29:29,1,1/11/2020 20:29,1/11/2020 20:30
37,2290,birdla,  8:29:34,15,1/11/2020 20:30,1/11/2020 20:30
37,5326,lime,  8:29:32,-7,1/11/2020 20:30,1/11/2020 20:30
37,289,spin,  8:29:35,-3,1/11/2020 20:30,1/11/2020 20:30
38,2264,birdla,  8:45:06,-26,1/11/2020 20:45,1/11/2020 20:45
38,571,birdsm,  8:45:06,-9,1/11/2020 20:45,1/11/2020 20:45
38,5319,lime,  8:45:03,-7,1/11/2020 20:45,1/11/2020 20:45
38,287,spin,  8:45:07,-2,1/11/2020 20:45,1/11/2020 20:45
38,591,wheels,  8:45:00,13,1/11/2020 20:45,1/11/2020 20:45
39,598,wheels,  8:59:59,7,1/11/2020 20:59,1/11/2020 21:00
